City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,olonkinbyen,70.9221,-8.7187,-3.13,67,97,1.74,SJ,1699827248
141,hatillo,18.4863,-66.8254,29.49,83,5,4.02,PR,1699827249
142,tamborine mountain,-27.9695,153.1994,21.16,67,11,2.08,AU,1699827249
143,shahba,32.8551,36.629,19.38,39,97,2.65,SY,1699827249
144,argo,37.6333,22.7333,16.66,71,55,1.31,GR,1699827250
145,vilyuchinsk,52.9306,158.4028,-2.26,77,43,3.22,RU,1699827250
146,kiama,-34.6833,150.8667,17.47,75,98,4.3,AU,1699827250
147,puerto ayora,-0.7393,-90.3518,27.98,89,49,1.79,EC,1699827250
148,touros,-5.1989,-35.4608,25.65,76,0,6.07,BR,1699827142
149,eraan,9.0629,117.7016,25.58,84,16,1.52,PH,1699827250
150,hastings,50.8552,0.5729,12.1,91,97,5.22,GB,1699827251
151,plettenberg bay,-34.0527,23.3716,13.41,77,0,2.4,ZA,1699827251
152,newman,37.3138,-121.0208,24.57,23,78,2.77,US,1699827251
153,savelugu,9.6244,-0.8253,30.84,33,26,0.55,GH,1699827251
154,walvis bay,-22.9575,14.5053,15.22,84,8,2.33,NA,1699827252
155,colonia,50.9333,6.95,6.65,87,75,2.06,DE,1699826670
156,along,28.1667,94.7667,12.96,62,0,0.75,IN,1699827253
157,hadibu,12.65,54.0333,26.88,81,75,5.59,YE,1699826663
158,leoben,47.3461,15.1257,0.95,78,100,1.23,AT,1699827253
159,punta arenas,-53.15,-70.9167,8.23,70,97,9.01,CL,1699827134
160,malpica,43.3228,-8.8105,20.09,76,95,8.54,ES,1699827254
161,murun-kuren,49.6342,100.1625,-9.58,52,13,1.6,MN,1699827254
162,tsiombe,-25.3,45.4833,21.88,68,0,1.74,MG,1699827254
163,freetown,8.484,-13.2299,27.84,83,40,3.09,SL,1699827254
164,changyon,38.2508,125.0961,1.29,65,6,6.19,KP,1699826679
165,muroto-misakicho,33.2833,134.15,12.27,61,2,10.03,JP,1699827255
166,prince george,53.9166,-122.753,1.46,84,100,0.89,CA,1699827077
167,missoula,47.0166,-113.8009,7.22,51,98,1.71,US,1699827195
168,khromtau,50.2503,58.4347,2.04,87,55,3.43,KZ,1699827256
169,anadyr,64.75,177.4833,-0.72,80,40,7.0,RU,1699827256
170,hami,42.8,93.45,2.55,31,100,0.43,CN,1699826691
171,acapulco de juarez,16.8634,-99.8901,30.9,70,0,5.66,MX,1699826645
172,kerikeri,-35.2268,173.9474,18.25,54,0,1.93,NZ,1699827004
173,udachny,66.4167,112.4,-13.64,84,100,2.89,RU,1699827257
174,sonqor,34.7837,47.6004,10.31,41,100,0.88,IR,1699827257
175,mosfellsbaer,64.1667,-21.7,3.73,60,0,5.66,IS,1699827257
176,suva,-18.1416,178.4415,24.71,94,75,5.66,FJ,1699827258
177,nema,57.5067,50.5011,0.29,98,100,6.02,RU,1699827258
178,keflavik,64.0049,-22.5624,3.95,70,0,8.75,IS,1699827258
179,mikhaylov,54.2292,39.0186,6.65,91,100,8.21,RU,1699827258
180,malvan,16.0667,73.4667,26.8,73,100,1.74,IN,1699827258
181,holualoa,19.6228,-155.9522,26.97,74,40,4.63,US,1699827259
182,hazorasp,41.3194,61.0742,2.91,45,36,4.25,UZ,1699827259
183,redcliff,-19.0333,29.7833,21.35,25,13,3.22,ZW,1699827259
184,arraial do cabo,-22.9661,-42.0278,26.92,78,0,0.51,BR,1699827259
185,kourou,5.1552,-52.6478,26.68,85,70,3.82,GF,1699827259
186,linxia chengguanzhen,35.6003,103.2064,-1.37,76,1,0.66,CN,1699827260
187,novoishimskiy,53.1981,66.7694,2.95,92,63,1.93,KZ,1699827260
188,sao joao da barra,-21.6403,-41.0511,29.05,88,42,4.58,BR,1699826634
189,taranagar,28.6709,75.0351,19.5,45,14,2.42,IN,1699827260
190,doctor mora,21.1417,-100.3125,15.28,77,87,3.97,MX,1699827261
191,malango,-2.9627,119.9001,18.86,96,92,1.14,ID,1699827261
